,Frequency
入场,923
冲击,922
妈,921
过去,919
整理,919
反复,918
安全,918
不想,918
必然,918
梦,916
特别,914
核心,913
撤退,912
使劲,909
求,907
下行,907
样子,906
性,904
持,904
信心,902
奇葩,901
总结,900
王,900
十字星,900
止损,898
涨停板,893
每日,893
盘跌,892
疫苗,892
狐狸,891
不让,889
停,888
水,887
全世界,882
太难,881
改,880
值得,877
5月,877
大阳,873
鬼,872
一大,872
大牛市,871
净,871
晕,870
好像,870
报,869
马,868
加息,867
中信,867
翻倍,865
住,865
不信,863
改变,863
时代,861
赶快,860
千万别,859
有可能,859
公告,858
开门红,858
还好,858
政策,857
回本,857
判断,854
业,854
确定,851
可怕,849
发财,849
区间,849
大跳水,846
本来,845
手里,844
大胆,840
鸡毛,837
很大,836
洗,836
上行,835
最低,834
基建,834
简单,834
深港,833
天下,833
急,831
长线,830
软件,829
带动,829
竟然,828
下面,827
评论,826
挣钱,824
幻想,822
东西,822
里面,822
帖子,821
帮,821
式,821
股吧,820
叉,820
光,819
中的,819
波段,819
退出,813
应,813
做好,811
收红,811
怎么走,809
离场,809
安,808
根本,808
新低,805
装配式,803
救,802
实盘,802
资,802
B,801
全线,801
钢材市场,800
投机,800
游资,798
机,798
异动,798
中午,797
净资产,795
重仓,795
股东,793
不破,792
控股,790
小票,787
掩护,786
发布,785
猜,784
迎接,784
硬,784
保持,784
日子,783
电力,782
很难,781
挣,778
确认,777
感谢,777
谨慎,776
可怜,776
拉稀,776
整体,775
帖,774
朋友们,773
脸,773
分时,772
准备好,772
操盘,770
房地产,770
绿色,767
日均,766
上周五,766
进行,763
送,763
快速,762
看涨,762
吃肉,761
事情,761
来临,761
不住,761
逻辑,760
狂,760
外盘,757
恭喜,757
真牛,757
刺激,757
A',757
养老金,755
挺,752
一日游,752
欧洲,751
回头,751
长阳,751
输,750
碰,749
守,748
双头,745
很好,744
拭目以待,743
回顾,742
外,742
原来,742
到来,740
观察,740
维持,737
再不,736
记住,736
转债,735
看样子,735
大阳线,735
蓝筹,735
中信证券,733
继,732
不大,732
样,730
光伏,729
电子,728
白银,727
本金,727
上天,726
上方,726
信息,724
速度,724
分红,723
显示,722
药,721
开心,720
国庆,717
制造,717
操纵,716
处于,716
坐等,716
跌下来,715
把握,715
可转债,714
顶背离,711
说好,711
k,710
导体,709
原油,708
关系,706
刚刚,705
随便,704
跑吧,704
地产,703
减,701
弱势,701
没戏,699
适合,698
权重股,694
货币,693
顶部,693
都会,692
失望,688
天山,687
保,687
自选股,687
中阳,685
滴,685
吃饭,685
清,684
旺,684
结构,683
金叉,682
格局,682
全天,681
多空,680
收益率,679
错过,679
牛股,678
玩意,677
延续,677
回去,676
年内,676
闷,676
公布,673
烂,673
数,672
努力,671
心态,670
老师,669
反攻,668
基,667
属于,667
债,666
意义,664
谢谢,662
红包,661
看戏,659
没什么,659
概念股,659
柴,659
回归,659
稳住,658
摊,657
经理,657
坚定,656
侠,656
不休,656
活,654
存在,653
盘口,651
缺,651
埋,650
确实,650
时刻,649
力量,649
锂电池,648
快乐,648
实,647
比赛,646
资源,646
上演,646
连阳,645
补仓,645
东,645
接近,645
远,644
再见,642
李大霄,641
不足,641
t,641
爽,641
下方,640
箱体,640
ST,640
平台,639
今天下午,639
磨,638
好看,638
深圳,638
高价股,636
内资,635
财经,633
本事,631
需,631
运行,631
股神,630
通道,630
直线,630
香,629
增,629
商,629
全球股市,628
对了,628
小跌,627
太大,627
最多,627
点评,626
队,625
回补,625
上来,623
博,622
销户,621
爹,619
后悔,618
干嘛,615
比亚迪,612
代表,612
区域,611
证监会,611
赔钱,609
走人,608
折腾,608
考验,607
贵州,606
抱,606
囧,605
赎回,604
吃药,604
$$,603
熟悉,602
暴,602
v,601
困顿,601
神机,601
骂,601
MSCI,601
操,600
担心,600
白马,599
预判,599
雄起,599
变成,598
发帖,598
带领,598
整,597
大股东,597
博弈,595
放大,595
石油,595
富,594
故事,594
托,593
不变,593
群,593
猪,593
穿,593
纳入,593
暂时,592
不服,591
几乎,591
版,590
欢迎,590
醉,589
利用,589
失败,588
下降,588
记得,588
符合,587
爆跌,587
无力,586
巨,586
新闻,585
风格,585
化工,585
游戏,584
办法,583
基本面,583
瓜,582
盘整,582
花,582
铅,582
早就,581
报收,580
法,579
日记,579
很快,578
定,578
晚,578
最高点,577
电,577
九月,576
不停,575
大佬,574
救救,573
净流入,572
撑,572
W,571
没法,570
订单,569
生活,569
生,568
卖卖,568
爱心,568
龙,568
沪市,568
最终,567
静,567
剩下,566
可惜,566
完毕,566
买卖,566
关,566
学习,565
必定,564
子,562
控盘,562
星,562
看不懂,562
真好,561
春天,561
绩优股,561
部分,561
金龙鱼,560
不屑,560
动作,558
守住,558
币,558
释放,557
水平,557
中期,556
重磅,556
君,555
写,554
没啥,554
管住,554
兄弟,553
月底,552
宝,552
选股,552
坐,548
追涨,548
考虑,547
打开,547
动力,547
控,547
成长,547
憨笑,546
复牌,545
ETF,545
实在,545
事件,544
实现,544
巨大,543
财,543
震,542
半导体,542
空方,541
看盘,540
手中,540
正确,540
地方,539
拉起,539
同志们,539
规律,538
堆,538
宣布,538
满,537
杀猪,537
笑话,537
出手,537
主线,537
跌倒,536
标准,536
心里,536
年报,536
没用,536
'a,535
包,534
横,533
风,532
研究,532
低于,532
停牌,531
降,531
味道,530
优秀,529
化,529
无法,528
有效,527
可能会,527
重组,527
头部,527
走强,527
改革,526
涨起来,525
仍然,525
盈亏,525
害怕,524
盈,524
熔断,523
油,522
心情,522
下半年,522
出局,522
威武,522
力度,521
涨价,518
迹象,517
血,516
大概,515
前面,515
加入,515
痛快,514
卧槽,514
地量,513
落地,513
G,513
日本,512
上当,511
卷商,511
怀疑,511
深证,510
自选,510
能够,509
乱,508
M,508
振荡,508
活跃,507
跑跑,506
气,506
怪,505
佩服,504
茅,504
洗洗,504
重新,503
全绿,503
没到,503
止盈,503
太高,502
之间,502
手机,502
具有,502
不可,502
高兴,502
怂,501
累,501
目的,500
成本,500
恐惧,500
说话,499
能力,498
看法,498
睡觉,497
字头,497
全国,496
珍惜,496
聪明,495
剩,495
留下,494
缩,494
建设,494
犊子,494
什,494
白马股,493
急跌,493
关灯,492
可能性,492
修复,492
新年,492
提,491
杠杆,491
金融股,490
绝,490
更多,490
闪,490
谈,489
中签,489
平安,489
鸟,489
不见,488
基本上,487
补涨,487
迎,486
多数,486
白,486
风口,485
潮,485
尿,485
现象,485
央行,485
新一轮,484
时机,484
十月,484
午间,483
贪婪,483
晚间,483
有钱,482
精准,481
龙头企业,478
涨涨,478
要到,478
大师,477
愉快,475
推,475
产业,474
不要脸,474
势,474
抓紧,473
筑底,473
跟上,473
存量,473
粉丝,473
特斯拉,472
拼命,472
国外,472
一段时间,472
自然,472
带头,471
算是,471
支撑位,470
挂,470
更好,469
典型,469
不止,469
怎么回事,469
抓,468
达到,467
过程,467
习惯,467
收官,467
增加,467
草,466
天都,464
不来,464
不再,464
道指,464
均,463
申购,463
品种,463
七月,462
作,462
不同,461
开市,461
融券,461
套住,461
港,460
劵,460
骗人,460
难受,460
暴力,459
私募,458
轻仓,458
一定会,456
避险,456
尤其,456
直播,456
酿酒,455
工作,455
凉凉,455
便宜,455
保护,454
睡,453
经历,453
没事,453
绝望,452
钢材价格,452
救市,452
媒体,452
面临,451
命,450
产品,450
战略,449
弄,449
也许,449
工业,449
挖坑,448
跌停板,447
最少,447
造,446
逼空,446
前天,446
季报,445
菜,445
变化,445
感,445
不出,444
看见,443
配合,443
合力,443
不补,443
领域,443
算了,442
离开,440
小涨,440
取暖,440
每一次,439
做到,439
食品,438
中小板,438
不妙,438
吓人,438
福,438
锂,438
骗子,438
可期,437
赚到,437
成立,436
害人,436
下星期,435
切换,434
状态,434
医,433
莫,433
上面,433
要求,433
舒服,432
相关,432
兑现,432
预备,432
顶住,431
踩踏,431
电池,430
占,429
理解,429
拟,428
回撤,428
煮,428
公投,428
安心,428
找到,428
上班,427
乐观,426
必要,425
思路,425
补上,424
泄,424
学,424
不卖,424
幅度,424
犹豫,423
崛起,423
明确,423
出去,422
上半年,421
放弃,420
旅游,420
形,420
韭,420
解禁,419
休市,419
消息面,418
海,418
思维,418
惨不忍睹,418
基民,418
平均,418
冠军,417
产业链,417
凉,417
暴风雨,416
生命,416
奇怪,416
瞎,416
大顶,415
尾,415
建材价格,414
一手,414
最低点,414
警惕,414
最新,413
寻找,413
欲,412
利,412
跑得快,412
惊,412
因素,412
蓝筹股,411
实力,411
尼玛,410
情,409
中石油,409
查,409
结构性,409
放假,409
戏,408
不在,408
没钱,408
从来,407
方法,407
哪位,406
哀,406
系统,406
介入,406
子弹,406
星期三,406
早上好,406
恢复,405
北,405
跨,405
西部,405
双顶,405
顺势,404
今天上午,404
有限,404
攻,404
再也,403
量子,402
主题,402
收阳,402
拿着,402
过后,401
腰斩,401
流动性,401
加大,401
不远,400
限制,400
来回,398
吸引,398
命令,398
4月,398
该涨,398
逃跑,397
直,397
热,396
交,396
L,396
一月,396
谨防,396
同比,395
奔,395
同样,395
形势,395
意外,395
表,394
套现,394
轻,394
大哥,393
大行情,393
资讯,393
快快,393
幸福,392
环境,392
在即,392
抓狂,392
表示,391
别跑,391
C,391
引发,391
情况下,391
运气,391
大小,390
想要,390
没想到,390
验证,390
华为,390
微调,389
通信,389
火箭,389
我国,388
跌下去,388
当下,388
进攻,387
材料,387
杀入,387
跑步,387
股权,386
智慧,386
苹果,385
五粮液,385
必将,385
一步到位,385
合并,384
引领,384
'T,384
老套路,384
讯,384
走高,383
工程,383
确立,383
打脸,383
手上,383
每年,383
火,382
耍流氓,382
积分,381
季,381
路上,381
没意思,381
再度,380
罕见,380
想想,380
小阳,380
实际,379
水泥,379
拉到,379
期间,378
后期,378
拉上去,377
方面,377
恶意,377
错杀,377
题材股,376
网,376
盼,376
美联储,376
礼拜,376
球,376
连阴,375
落袋,375
关闭,375
管理,375
温水,374
材,374
牛气,374
抽,374
重回,373
青蛙,373
龙头股,373
棍,373
没救,373
总体,373
走法,372
喜,372
高度,372
注定,372
中厚板,372
想着,372
六月,372
看不到,371
空军,371
获,371
连涨,370
转换,370
搅,369
标的,369
攻击,369
丢,369
香港,368
签,368
初,367
证明,367
没错,367
越多,367
领跑,367
芯,366
瓦解,366
黄线,366
象,366
整天,366
应对,365
多方,365
较大,365
主升浪,365
猛烈,365
现金,364
画,364
收在,364
屁,364
墨迹,363
导致,363
系,363
一致,363
说说,362
一家,362
组合,362
仅,362
研发,362
山顶,362
TM,362
跳水队,361
成交额,360
图形,360
惊喜,360
股评,360
方式,360
贵州茅台,360
估估,360
只想,359
特色,359
扶,358
吹牛,358
姐,357
临近,357
起点,357
MACD,357
人民,357
开通,356
看跌,356
服不服,356
金九,356
IPO,355
故意,355
玩吧,354
搞笑,354
文章,354
展望,353
恶,353
元旦,353
见证,352
狂跌,352
或许,352
O,352
区,352
比特币,351
影,351
派,351
拥有,351
卖掉,351
不懂,350
道理,350
截止,350
夜,350
中泰,349
撇嘴,349
带来,349
反击,349
坑人,347
冲锋,347
要死,347
扛,347
过来,347
收获,346
加快,346
强大,346
欧盟,346
向好,345
吊,345
拿下,345
极,344
业务,344
恒,344
到头,344
之下,343
净利润,343
害,343
恐怖,343
半死不活,343
指望,343
操控,343
解,342
直奔,341
迟早,341
药业,341
恒指,341
战,341
支付宝,341
无聊,341
技术性,341
愿意,340
航空,340
回家,340
魔咒,340
中线,340
否,339
互联网,338
报告,338
翔,338
解读,338
悲哀,337
增量,337
勿,337
更新,337
解释,337
拖累,336
止,336
逐渐,336
磨磨,336
无耻,335
护,335
思考,335
切记,335
透,335
炸,335
经验,334
妙,334
抗,334
探,334
印花税,334
胜,334
八月,333
好消息,333
低迷,333
丨,333
'@,333
当日,332
中金,332
不必,332
收购,332
再现,332
率,332
摸,331
打算,330
损失,330
高价,330
cp,330
股海,330
阻力,329
南方,329
白线,329
品,329
昨,329
交易量,329
强拉,328
逆势,328
条件,328
打爆,328
设,328
信不信,327
上次,326
嘴,326
有所,325
总资产,325
目,325
如期,325
受不了,325
发套,324
做股票,324
融,324
静待,324
煤,324
券,323
社保,322
降低,322
亏得,321
萎缩,321
简直,321
重庆,321
挑战,320
围观,320
滞涨,320
处,320
集中,320
踏,320
股票市场,320
一泻千里,319
听说,319
发呆,319
合理,319
研判,319
公,319
新三板,319
任务,319
绿盘,318
大多,318
酝酿,318
捡,318
北京,318
积极,318
纠结,317
悲观,317
早点,317
交流,317
年年,317
三月,317
铁,317
预增,316
李,315
大爷,315
爆仓,315
汇,315
黄金坑,315
行为,314
公募,314
过山车,314
所有人,313
贬值,313
监管,313
棒,313
冠,313
跟风,313
现货,313
后续,312
奇迹,312
收阴,312
包括,312
辛苦,312
飞流直下三千尺,311
季度,311
舞,311
笔记,311
一句话,310
刀,310
挖,309
换股,309
再买,309
见过,308
弹,308
穷,308
窗口,308
稍微,308
特征,308
跑的快,308
挣扎,307
商品,307
宁德,307
深度,307
门,306
收盘价,306
祖国,306
脚,306
附,306
牛皮,305
京东方,305
没问题,305
智,305
知,304
谁敢,304
相对,304
苦,304
复苏,304
项目,304
真实,304
汇总,304
挺好,304
伟大,303
起码,303
抵抗,303
关门,303
大于,303
老是,302
进军,302
刚刚开始,302
蓝,302
王者,302
盘子,302
众,302
劲,301
求求,301
商业,301
恐慌盘,301
月份,301
大牛,301
受益,301
鹏,301
十分,300
拜拜,300
星期二,300
走向,300
曾经,300
站岗,300
笔,300
年初,299
收市,299
称,298
说什么,298
国庆节,298
开门,298
u,298
刚才,298
黑马,298
已成,298
巴菲特,298
他妈的,297
美国股市,297
大增,297
保证,297
起步,296
不脱,296
w,296
电气,296
地板,296
联合,296
流向,296
跌死,296
丢人,295
供应,295
道琼斯,295
记,295
太阳能,295
经常,295
帝,295
溜,295
雷,295
操盘手,294
联,294
起不来,294
买到,294
水电,294
配,294
增持,294
着急,294
轮到,293
概,293
春,293
并不,293
招,293
尾声,293
收复,292
榜,292
牛牛,292
抛弃,292
家数,292
长假,291
点钱,291
约,291
人性,291
抬,290
没有人,290
得到,290
索罗斯,290
需求,290
大势,290
立马,290
皆,289
全都,289
抛售,289
亏死,289
归来,289
取消,289
回光返照,289
学会,288
玩股票,288
炮,288
及时,288
'k,288
假期,288
果断,288
观,287
更加,287
基础,287
早晚,287
冲冲,287
隆基,287
打击,287
毫无,286
蓄势,286
放开,286
病,286
近日,286
懂得,285
竞价,285
研,285
之上,285
造成,284
集合竞价,284
红色,284
有啥,284
潜力,284
你好,283
生态,283
意,283
倒是,283
猪肉,282
常态,282
窄幅,282
抢反弹,282
就行了,282
愿,281
超越,281
清楚,281
实行,281
忙,280
底线,280
险,280
测,280
喷,280
分批,280
负,280
房价,280
强烈,280
蛋,279
翻身,279
反应,279
收绿,279
半年线,279
分钱,279
落,279
手法,279
断头,279
秀,279
臭,278
狼,278
小白,278
天线,278
最强,278
区别,278
外面,277
轻松,277
无疑,277
明明,277
预,277
雨,277
跪求,276
下车,276
撑不住,275
留意,275
防,275
面对,274
当天,274
双底,274
具备,274
获利盘,274
收到,274
超短,273
猜猜,273
大户,273
顺利,273
买单,273
悬念,272
意味着,272
核,272
不对,272
报道,272
始终,272
减少,272
间,272
反向,272
精,271
浮,271
涨势,271
吐,271
今早,271
成熟,270
提高,270
航天,270
优势,270
王道,270
认真,269
太快,269
思,269
梭哈,269
大事,269
前两天,269
结,269
产生,269
沪深股市,268
认,268
高台跳水,268
消,268
复制,268
请教,267
纳指,267
危机,267
仁,267
日内,267
歌,266
稳健,266
锅盖,266
狂欢,266
追涨杀跌,266
理论,266
确,265
早间,265
活埋,265
转型,265
强烈要求,265
目标价,265
瞬间,265
一触即发,265
呼叫,264
难看,264
累计,264
下影线,264
偏,264
客,264
一边,264
线图,264
统计,264
量价,264
麻烦,264
有没有,263
额,263
标题,263
保住,263
H,263
回暖,263
团,262
围绕,262
挺住,262
见到,262
配置,262
虚,262
悬,262
数量,262
大牛股,262
凶,261
算法,261
屎,261
试,261
解放前,261
披露,260
杯,260
良机,260
软,260
年度,260
突,260
展开,260
毕竟,260
现价,259
推出,259
推动,259
贪,259
同意,259
游,259
高增,259
流,258
每周,258
锁,258
合作,258
准确,258
打破,257
失去,257
寂寞,257
买酒,257
下挫,257
什么事,257
奶奶,257
熊样,257
个人观点,257
节能,256
黄,256
跌多涨少,256
干脆,256
重复,256
制度,256
中继,256
有色金属,256
公开,256
发射,256
乌鸦,256
共振,256
太少,256
莫名其妙,256
国企,255
梦想,255
真心,255
熄火,255
齐,255
来到,255
财务,254
演,254
充分,254
眼,254
贡献,254
加上,254
文化,253
疼,253
亚洲,253
潜伏,253
赛道,253
龙虎榜,253
高低,253
酒类,253
走低,252
痛,252
无奈,252
分歧,252
跟随,252
似乎,252
打板,252
深市,251
云,251
套利,251
精选,251
纷纷,251
天上,251
跟不上,251
冲鸭,251
普遍,250
曰,250
劝,250
钢,250
讨论,249
重工,249
参,249
春季,249
看下,249
失真,249
一线,249
节点,249
往往,249
一生,249
井喷,248
别怕,248
排名,248
似,248
拖,248
模拟,248
击穿,248
下调,248
实体,247
仁东,247
磨叽,247
冷,247
激动,247
轨,247
铝,247
新手,247
要死不活,247
庆祝,246
外国,246
想法,246
实施,246
觉,246
房子,246
有戏,246
更大,246
品牌,245
认识,245
价位,245
全年,245
一帖,245
好样,244
千古,244
撤离,244
郭嘉,244
等于,244
昨夜,244
强势股,244
精彩,244
狼来了,244
抓住,243
压盘,243
妥妥,243
存,243
呼吁,243
时期,243
黑暗,243
华泰,243
毛线,243
民,243
锤子,243
到处,242
严查,242
撒,242
强壮,242
合约,242
双十一,242
今后,242
乐,241
没得,241
没赚,241
热轧板,241
增发,241
投资人,241
专业,241
战法,241
macd,240
版块,240
冲破,240
折磨,240
诱惑,240
不准,240
专,240
当心,240
毛病,240
规则,240
装死,239
诡异,239
